Site,Height,Length,Total,GonadArea,GonadPercent,Sex,Stage,OocyteDiam,Parasite,Month,Sample,LogGonad,Temp,Sal,Season,PercentDiv
AB,18.39,13.76,206.96,2.66,1.28,F,1,9.41,No,Jan,604,0.56,12.32,33.38,Dry,0.012838304
AB,14.23,14.32,161.14,2.35,1.46,F,1,10.68,No,Jan,605,0.53,12.32,33.38,Dry,0.014590641
AB,11.80,10.74,94.71,4.04,4.26,M,3,Z,No,Jan,607,0.70,12.32,33.38,Dry,0.042630951
AB,11.93,10.31,94.62,6.82,7.21,F,1,10.76,No,Jan,610,0.89,12.32,33.38,Dry,0.072095217
AB,11.96,10.09,102.29,0.74,0.72,F,1,8.90,No,Jan,612,0.24,12.32,33.38,Dry,0.007244841
AB,9.39,9.74,79.02,4.76,6.02,M,3,Z,No,Jan,613,0.76,12.32,33.38,Dry,0.060228491
AB,10.29,8.02,72.00,0.00,0.00,Z,4,Z,No,Jan,614,0.00,12.32,33.38,Dry,0
AB,10.92,9.70,91.14,0.00,0.00,Z,4,Z,Yes,Jan,616,0.00,12.32,33.38,Dry,0
AB,9.22,8.85,70.42,0.15,0.21,M,1,Z,No,Jan,617,0.06,12.32,33.38,Dry,0.002097867
AB,11.03,8.04,69.77,1.24,1.78,M,1,Z,No,Jan,619,0.35,12.32,33.38,Dry,0.017787883
AB,8.59,7.76,57.17,6.41,11.21,M,2,Z,No,Jan,622,0.87,12.32,33.38,Dry,0.112072374
AB,10.08,10.60,89.56,0.00,0.00,Z,4,Z,Yes,Jan,623,0.00,12.32,33.38,Dry,0
AB,12.98,12.87,137.72,1.51,1.10,F,1,8.74,No,Feb,626,0.40,12.26,23.37,Dry,0.010988691
AB,16.74,17.00,205.21,0.00,0.00,Z,Z,Z,Buceph,Feb,627,0.00,12.26,23.37,Dry,0
AB,16.85,17.26,238.88,0.00,0.00,Z,Z,Z,Buceph,Feb,628,0.00,12.26,23.37,Dry,0
