Month,Date,Site,Station,Temp,Salinity,pH,DO
Jan,1/9/2018,LX,1,18.6,16.73,7.98,8.56
Jan,1/9/2018,LX,2,18.4,17.34,7.98,8.77
Jan,1/9/2018,LX,3,18,15.82,7.95,8.37
Jan,1/10/2018,SL,1,16.3,16.59,8.53,10.75
Jan,1/10/2018,SL,2,16.2,15.41,8.59,11.02
Jan,1/10/2018,SL,3,16.2,15.3,8.55,10.6
Jan,1/16/2018,CR,1,16.4,13.19,8.23,10.53
Jan,1/16/2018,CR,2,16.5,13.35,8.4,10.95
Jan,1/16/2018,CR,3,16.8,20.06,8.15,9.1
Jan,1/16/2018,CR,4,17.9,23.36,8.18,9.3
Feb,2/6/2018,LX,1,22.9,20.93,8.06,7.34
Feb,2/6/2018,LX,2,23.2,21.93,8.08,8.18
Feb,2/6/2018,LX,3,22.4,19.97,8.05,7.52
Feb,2/7/2018,SL,1,20.7,20.99,8.19,7.4
Feb,2/7/2018,SL,2,20.7,22.4,8.17,7.34
Feb,2/7/2018,SL,3,20.9,19.02,8.2,7.45
Feb,2/13/2018,CR,1,24.6,20.62,8,7.16
Feb,2/13/2018,CR,2,24.6,24.91,8.03,6.8
Feb,2/13/2018,CR,3,25.2,25.05,8.05,6.91
Feb,2/13/2018,CR,4,25.7,29.49,8.26,7.27
Mar,3/7/2018,LX,1,23,30.03,8.1,7.35
Mar,3/7/2018,LX,2,23.1,30.65,8.16,7.25
Mar,3/7/2018,LX,3,22.6,24.92,8.11,7.2
Mar,3/7/2018,SL,1,21,26.4,8.22,7.09
Mar,3/7/2018,SL,2,21.3,27.4,8.22,7.05
Mar,3/7/2018,SL,3,21.4,27.62,8.23,6.71
Mar,3/13/2018,CR,1,17.9,21.95,8.02,8.25
Mar,3/13/2018,CR,2,17.5,26.31,8.12,7.99
Mar,3/13/2018,CR,3,19.5,27.75,8.15,7.73
Mar,3/13/2018,CR,4,19.6,29.31,8.2,8
Apr,4/3/2018,LX,1,27.7,28.28,7.68,6.22
Apr,4/3/2018,LX,2,27.4,28.34,7.7,6.79
Apr,4/3/2018,LX,3,26.8,24.01,7.63,6.02
Apr,4/4/2018,SL,1,25.1,28.37,7.8,6.25
Apr,4/4/2018,SL,2,24.9,28.01,7.78,6.29
Apr,4/4/2018,SL,3,25,26.68,7.72,6.17
Apr,4/10/2018,CR,1,26.9,23.09,7.49,6.95
Apr,4/10/2018,CR,2,27.2,26.92,7.74,6.97
